name,colors,Colorless,R,U,G,B,W
Aatchik Emerald Radian,"[B, G]",0,0,0,1,1,0
Abandoned Campground,['Colorless'],1,0,0,0,0,0
Abhorrent Oculus,['U'],0,0,1,0,0,0
Abrade,['R'],0,1,0,0,0,0
Abraded Bluffs,['Colorless'],1,0,0,0,0,0
Absolute Virtue,"[U, W]",0,0,1,0,0,1
Absolving Lammasu,['W'],0,0,0,0,0,1
Abuelo Ancestral Echo,"[U, W]",0,0,1,0,0,1
Abyssal Gorestalker,['B'],0,0,0,0,1,0
Abyssal Harvester,['B'],0,0,0,0,1,0
Abzan Devotee,['B'],0,0,0,0,1,0
Abzan Monument,['Colorless'],1,0,0,0,0,0
Aclazotz Deepest Betrayal  Temple of the Dead,['Colorless'],1,0,0,0,0,0
Acolyte of Aclazotz,['B'],0,0,0,0,1,0
Acrobatic Cheerleader,['W'],0,0,0,0,0,1
Acrobatic Leap,['W'],0,0,0,0,0,1
Adagia Windswept Bastion,['Colorless'],1,0,0,0,0,0
Adamant Will,['W'],0,0,0,0,0,1
Adaptive Automaton,['Colorless'],1,0,0,0,0,0
Adaptive Gemguard,['W'],0,0,0,0,0,1
Adelbert Steiner,['W'],0,0,0,0,0,1
Adorned Crocodile,['B'],0,0,0,0,1,0
Adrenaline Jockey,['R'],0,1,0,0,0,0
Adventurers Airship,['Colorless'],1,0,0,0,0,0
Adventurers Inn,['Colorless'],1,0,0,0,0,0
Adventuring Gear,['Colorless'],1,0,0,0,0,0
Aegis Sculptor,['U'],0,0,1,0,0,0
Aegis Turtle,['U'],0,0,1,0,0,0
Aerith Gainsborough,['W'],0,0,0,0,0,1
Aerith Rescue Mission,['W'],0,0,0,0,0,1
Aetherize,['U'],0,0,1,0,0,0
Aetherjacket,['Colorless'],1,0,0,0,0,0
Aether Syphon,['U'],0,0,1,0,0,0
Aettir and Priwen,['Colorless'],1,0,0,0,0,0
Affectionate Indrik,['G'],0,0,0,1,0,0
Afterburner Expert,['G'],0,0,0,1,0,0
Aftermath Analyst,['G'],0,0,0,1,0,0
Agate Assault,['R'],0,1,0,0,0,0
Agate-Blade Assassin,['B'],0,0,0,0,1,0
Agatha of the Vile Cauldron,"[G, R]",0,1,0,1,0,0
Agathas Champion,['G'],0,0,0,1,0,0
Agathas Soul Cauldron,['Colorless'],1,0,0,0,0,0
Agency Coroner,['B'],0,0,0,0,1,0
Agency Outfitter,['U'],0,0,1,0,0,0
Agent of Kotis,['U'],0,0,1,0,0,0
Agent Venom,['B'],0,0,0,0,1,0
Aggressive Mammoth,['G'],0,0,0,1,0,0
Aggressive Negotiations,['B'],0,0,0,0,1,0
Agonasaur Rex,['G'],0,0,0,1,0,0
Agrus Kos Spirit of Justice,"[R, W]",0,1,0,0,0,1
Ahriman,['B'],0,0,0,0,1,0
Ainok Wayfarer,['G'],0,0,0,1,0,0
Air Response Unit,['W'],0,0,0,0,0,1
Airship Crash,['G'],0,0,0,1,0,0
Airtight Alibi,['G'],0,0,0,1,0,0
Ajani Caller of the Pride,['W'],0,0,0,0,0,1
Ajanis Pridemate,['W'],0,0,0,0,0,1
Akal Pakal First Among Equals,['U'],0,0,1,0,0,0
Akawalli the Seething Tower,"[B, G]",0,0,0,1,1,0
A Killer Among Us,['G'],0,0,0,1,0,0
Akul the Unrepentant,"[B, R]",0,1,0,0,1,0
Alacrian Armory,['W'],0,0,0,0,0,1
Alacrian Jaguar,['G'],0,0,0,1,0,0
Alania Divergent Storm,"[R, U]",0,1,1,0,0,0
Alanias Pathmaker,['R'],0,1,0,0,0,0
Al Bhed Salvagers,['B'],0,0,0,0,1,0
Alchemists Assistant,['B'],0,0,0,0,1,0
Aleshas Legacy,['B'],0,0,0,0,1,0
Alesha Who Laughs at Fate,"[B, R]",0,1,0,0,1,0
Alien Symbiosis,['B'],0,0,0,0,1,0
Alley Assailant,['B'],0,0,0,0,1,0
All-Fates Scroll,['Colorless'],1,0,0,0,0,0
All-Fates Stalker,['W'],0,0,0,0,0,1
All-Out Assault,"[B, R, W]",0,1,0,0,1,1
Aloe Alchemist,['G'],0,0,0,1,0,0
Alpharael Dreaming Acolyte,"[B, U]",0,0,1,0,1,0
Alpharael Stonechosen,['B'],0,0,0,0,1,0
Alquist Proft Master Sleuth,"[U, W]",0,0,1,0,0,1
Altanak the Thrice-Called,['G'],0,0,0,1,0,0
Amalia Benavides Aguirre,"[B, W]",0,0,0,0,1,1
Amazing Acrobatics,['U'],0,0,1,0,0,0
Ambling Stormshell,['U'],0,0,1,0,0,0
Ambrosia Whiteheart,['W'],0,0,0,0,0,1
Ambush Gigapede,['B'],0,0,0,0,1,0
Ambush Wolf,['G'],0,0,0,1,0,0
Amonkhet Raceway,['Colorless'],1,0,0,0,0,0
Anafenza Unyielding Lineage,['W'],0,0,0,0,0,1
Analyze the Pollen,['G'],0,0,0,1,0,0
Ancestor Dragon,['W'],0,0,0,0,0,1
Ancestors Aid,['R'],0,1,0,0,0,0
Ancestral Reminiscence,['U'],0,0,1,0,0,0
Ancient Adamantoise,['G'],0,0,0,1,0,0
Ancient Cornucopia,['G'],0,0,0,1,0,0
Ancient Vendetta,['B'],0,0,0,0,1,0
Angelic Destiny,['W'],0,0,0,0,0,1
Angelic Edict,['W'],0,0,0,0,0,1
Angel of Finality,['W'],0,0,0,0,0,1
Angel of Vitality,['W'],0,0,0,0,0,1
Angry Rabble,['R'],0,1,0,0,0,0
Anim Pakal Thousandth Moon,"[R, W]",0,1,0,0,0,1
Ankle Biter,['G'],0,0,0,1,0,0
Annie Flash the Veteran,"[G, R, W]",0,1,0,1,0,1
Annie Joins Up,"[G, R, W]",0,1,0,1,0,1
Annul,['U'],0,0,1,0,0,0
An Offer You Cant Refuse,['U'],0,0,1,0,0,0
Another Chance,['B'],0,0,0,0,1,0
Another Round,['W'],0,0,0,0,0,1
