name,type_line,oracle_text,colors,cmc,rarity,set_name,released_at,power,toughness,keywords,image_uri
"Aatchik, Emerald Radian",Legendary Creature — Insect Druid,"When Aatchik enters, create a 1/1 green Insect creature token for each artifact and/or creature card in your graveyard.
Whenever another Insect you control dies, put a +1/+1 counter on Aatchik. Each opponent loses 1 life.","B,G",6.0,rare,Aetherdrift,2025-02-14,3,3,,https://cards.scryfall.io/normal/front/f/b/fbdaa29b-85ff-4a06-b27e-fcdbdfd4a3fe.jpg?1738356563
Abandoned Campground,Land,"This land enters tapped unless a player has 13 or less life.
{T}: Add {W} or {U}.",Colorless,0.0,common,Duskmourn: House of Horror,2024-09-27,,,,https://cards.scryfall.io/normal/front/e/e/ee0565f5-ebdb-43f9-bbb4-0485b1968937.jpg?1726286826
Abhorrent Oculus,Creature — Eye,"As an additional cost to cast this spell, exile six cards from your graveyard.
Flying
At the beginning of each opponent's upkeep, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)",U,3.0,mythic,Duskmourn: House of Horror,2024-09-27,5,5,"Flying,Manifest,Manifest dread",https://cards.scryfall.io/normal/front/d/2/d2705b43-a94a-44c0-8740-82e0b296820c.jpg?1726286015
Abrade,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,2.0,uncommon,Tarkir: Dragonstorm Commander,2025-04-11,,,,https://cards.scryfall.io/normal/front/4/c/4c2a1b4e-858c-47a3-be89-9275e48d5475.jpg?1743206610
Abraded Bluffs,Land — Desert,"This land enters tapped.
When this land enters, it deals 1 damage to target opponent.
{T}: Add {R} or {W}.",Colorless,0.0,common,Outlaws of Thunder Junction,2024-04-19,,,,https://cards.scryfall.io/normal/front/1/9/19e96521-b4ce-4a36-a887-200e05ccc804.jpg?1712356303
Absolute Virtue,Legendary Creature — Avatar Warrior,"This spell can't be countered.
Flying
You have protection from each of your opponents. (You can't be dealt damage, enchanted, or targeted by anything controlled by your opponents.)","U,W",8.0,mythic,Final Fantasy,2025-06-13,8,8,Flying,https://cards.scryfall.io/normal/front/a/a/aa192912-c9ee-403f-8a46-a338c9edb4b9.jpg?1748706551
Absolving Lammasu,Creature — Lammasu,"Flying
When this creature enters, all suspected creatures are no longer suspected.
When this creature dies, you gain 3 life and suspect up to one target creature an opponent controls. (A suspected creature has menace and can't block.)",W,5.0,uncommon,Murders at Karlov Manor,2024-02-09,4,3,Flying,https://cards.scryfall.io/normal/front/b/d/bd6e71a1-713e-4eca-bd65-9f0638c16794.jpg?1706389555
"Abuelo, Ancestral Echo",Legendary Creature — Spirit,"Flying, ward {2}
{1}{W}{U}: Exile another target creature or artifact you control. Return it to the battlefield under its owner's control at the beginning of the next end step.","U,W",3.0,rare,The Lost Caverns of Ixalan,2023-11-17,2,2,"Flying,Ward",https://cards.scryfall.io/normal/front/4/0/40eee689-2514-421a-8056-eb7668be66ff.jpg?1699044511
Abyssal Gorestalker,Creature — Horror,"When this creature enters, each player sacrifices two creatures of their choice.",B,6.0,uncommon,The Lost Caverns of Ixalan,2023-11-17,6,6,,https://cards.scryfall.io/normal/front/a/5/a559f77f-1f10-475b-9361-7f297d50f254.jpg?1699044037
Abyssal Harvester,Creature — Demon Warlock,"{T}: Exile target creature card from a graveyard that was put there this turn. Create a token that's a copy of it, except it's a Nightmare in addition to its other types. Then exile all other Nightmare tokens you control.",B,3.0,rare,Foundations,2024-11-15,3,2,,https://cards.scryfall.io/normal/front/f/2/f2e0f538-5825-47e9-883c-3ec6fd5b25ea.jpg?1730488783
Abzan Devotee,Creature — Dog Cleric,"{1}: Add {W}, {B}, or {G}. Activate only once each turn.
{2}{B}: Return this card from your graveyard to your hand.",B,2.0,common,Tarkir: Dragonstorm,2025-04-11,2,1,,https://cards.scryfall.io/normal/front/6/6/66555946-e747-46fa-b1ac-b103a8edcd93.jpg?1743204231
Abzan Monument,Artifact,"When this artifact enters, search your library for a basic Plains, Swamp, or Forest card, reveal it, put it into your hand, then shuffle.
{1}{W}{B}{G}, {T}, Sacrifice this artifact: Create an X/X white Spirit creature token, where X is the greatest toughness among creatures you control. Activate only as a sorcery.",Colorless,2.0,uncommon,Tarkir: Dragonstorm,2025-04-11,,,,https://cards.scryfall.io/normal/front/d/2/d2da9024-3b58-4a57-8f7d-4094c193daee.jpg?1743204940
"Aclazotz, Deepest Betrayal // Temple of the Dead",Legendary Creature — Bat God // Land,,Colorless,5.0,mythic,The Lost Caverns of Ixalan,2023-11-17,,,"Flying,Lifelink,Transform",
